id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
12636,2002-10-30T00:00:00.000Z,100,4,False,2002,Final, ,75,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
12637,2002-11-01T00:00:00.000Z,84,4,False,2002,Final, ,79,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
12638,2002-11-02T00:00:00.000Z,107,4,False,2002,Final, ,117,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
12639,2002-11-03T00:00:00.000Z,98,4,False,2002,Final, ,95,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12640,2002-11-04T00:00:00.000Z,88,4,False,2002,Final, ,97,20,NYK,New York,East,Atlantic,New York Knicks,Knicks,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
12641,2002-11-05T00:00:00.000Z,125,4,False,2002,Final, ,121,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
12642,2002-11-06T00:00:00.000Z,69,4,False,2002,Final, ,91,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
12643,2002-11-08T00:00:00.000Z,87,4,False,2002,Final, ,114,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
12644,2002-11-09T00:00:00.000Z,100,4,False,2002,Final, ,93,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
12645,2002-11-12T00:00:00.000Z,86,4,False,2002,Final, ,83,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12646,2002-11-13T00:00:00.000Z,93,4,False,2002,Final, ,104,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
12647,2002-11-14T00:00:00.000Z,105,4,False,2002,Final, ,102,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
12648,2002-11-15T00:00:00.000Z,86,4,False,2002,Final, ,97,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
12649,2002-11-16T00:00:00.000Z,101,4,False,2002,Final, ,107,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
12650,2002-11-17T00:00:00.000Z,89,4,False,2002,Final, ,93,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
12651,2002-11-18T00:00:00.000Z,99,4,False,2002,Final, ,79,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
12652,2002-11-19T00:00:00.000Z,110,4,False,2002,Final, ,106,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
12653,2002-11-20T00:00:00.000Z,89,4,False,2002,Final, ,93,13,LAC,LA,West,Pacific,LA Clippers,Clippers,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
12654,2002-11-22T00:00:00.000Z,118,4,False,2002,Final, ,101,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
